Time(ms),Lat,Lon,Speed(kmph),Ax,Ay,Az,Gx,Gy,Gz,AlphaX,AlphaY,AlphaZ,Ax_ADXL,Ay_ADXL,Az_ADXL
1810,22.319267,87.302673,0.13,0.16,-0.03,8.10,-0.31,-1.55,0.85,0.41,0.37,-0.87,0.392,-0.078,8.591
2012,22.319267,87.302673,0.13,0.17,-0.08,8.07,-0.31,-1.69,0.96,0.00,-0.68,0.57,0.392,-0.078,8.630
2199,22.319267,87.302673,0.13,0.14,-0.02,7.97,-0.37,-1.58,0.86,-0.33,0.57,-0.53,0.431,-0.118,8.512
2298,22.319267,87.302673,0.13,0.13,-0.06,7.96,-0.49,-1.49,0.90,-1.16,0.93,0.39,0.392,-0.118,8.630
2443,22.319267,87.302673,0.13,0.15,-0.09,8.07,-0.39,-1.52,0.90,0.68,-0.21,0.00,0.392,-0.118,8.591
2587,22.319267,87.302673,0.13,0.14,-0.04,8.02,-0.31,-1.53,0.80,0.58,-0.05,-0.69,0.392,-0.157,8.591
2788,22.319267,87.302673,0.13,0.15,-0.05,8.10,-0.60,-1.65,1.06,-1.44,-0.61,1.29,0.392,0.000,8.669
2977,22.319263,87.302673,0.19,0.13,-0.04,7.99,-0.40,-1.57,0.98,1.01,0.40,-0.40,0.431,-0.039,8.669
3166,22.319263,87.302673,0.19,0.19,0.01,7.98,-0.29,-1.44,0.93,0.61,0.73,-0.28,0.431,-0.157,8.551
3264,22.319263,87.302673,0.19,0.13,-0.12,8.10,-0.44,-1.55,0.92,-1.56,-1.17,-0.08,0.431,-0.118,8.630
3410,22.319263,87.302673,0.19,0.11,-0.10,8.10,-0.47,-1.66,0.97,-0.16,-0.78,0.31,0.353,-0.118,8.591
3556,22.319263,87.302673,0.19,0.12,-0.06,7.99,-0.38,-1.63,0.99,0.58,0.26,0.16,0.392,-0.118,8.551
3737,22.319263,87.302673,0.19,0.22,-0.02,8.08,-0.35,-1.60,0.89,0.17,0.17,-0.59,0.353,-0.118,8.551
3941,22.319259,87.302673,0.13,0.13,-0.02,8.06,-0.58,-1.70,0.76,-1.12,-0.52,-0.60,0.392,-0.078,8.630
4129,22.319259,87.302673,0.13,0.21,-0.04,8.08,-0.26,-1.48,1.00,1.71,1.18,1.26,0.431,-0.078,8.591
4246,22.319259,87.302673,0.13,0.15,0.01,8.10,-0.26,-1.53,0.93,0.00,-0.39,-0.59,0.392,-0.157,8.591
4383,22.319259,87.302673,0.13,0.11,-0.08,8.06,-0.24,-1.56,1.04,0.17,-0.22,0.78,0.392,-0.118,8.551
4528,22.319259,87.302673,0.13,0.11,-0.05,8.07,-0.35,-1.55,0.75,-0.79,0.05,-2.00,0.431,-0.118,8.512
4673,22.319259,87.302673,0.13,0.18,-0.07,8.08,-0.32,-1.45,0.85,0.21,0.68,0.68,0.392,-0.118,8.669
4874,22.319259,87.302673,0.13,0.14,-0.07,8.03,-0.40,-1.71,0.73,-0.42,-1.29,-0.61,0.392,-0.196,8.630
5062,22.319259,87.302673,0.13,0.14,-0.10,7.98,-0.34,-1.57,1.02,0.32,0.73,1.54,0.392,-0.118,8.551
5229,22.319259,87.302673,0.13,0.11,-0.06,8.03,-0.24,-1.73,0.89,0.64,-0.91,-0.78,0.431,-0.118,8.591
5321,22.319259,87.302673,0.13,0.14,-0.02,8.01,-0.34,-1.47,0.79,-1.16,2.74,-1.00,0.392,-0.118,8.512
5467,22.319259,87.302673,0.13,0.13,-0.10,7.98,-0.34,-1.54,1.01,0.05,-0.47,1.46,0.392,-0.157,8.591
5611,22.319259,87.302673,0.13,0.21,-0.04,7.98,-0.31,-1.60,0.98,0.16,-0.37,-0.16,0.392,-0.157,8.591
5815,22.319259,87.302673,0.13,0.16,-0.11,8.06,-0.31,-1.71,0.93,0.00,-0.56,-0.26,0.353,-0.078,8.630
6016,22.319259,87.302673,0.13,0.17,-0.06,8.03,-0.31,-1.53,0.86,0.00,0.87,-0.34,0.392,-0.039,8.551
6203,22.319259,87.302673,0.13,0.19,-0.05,7.94,-0.31,-1.51,0.86,0.00,0.12,0.00,0.392,-0.118,8.551
6300,22.319259,87.302673,0.13,0.14,-0.10,8.07,-0.21,-1.47,0.98,1.10,0.39,1.26,0.431,-0.118,8.591
6443,22.319259,87.302673,0.13,0.15,-0.10,8.02,-0.40,-1.60,1.06,-1.39,-0.85,0.53,0.392,-0.078,8.551
6589,22.319259,87.302673,0.13,0.12,-0.06,7.91,-0.40,-1.63,0.80,0.00,-0.26,-1.78,0.392,-0.118,8.591
6791,22.319248,87.302665,0.09,0.14,-0.06,8.07,-0.52,-1.56,0.87,-0.57,0.34,0.34,0.431,-0.078,8.591
6988,22.319248,87.302665,0.09,0.13,-0.08,8.08,-0.31,-1.66,0.96,1.05,-0.46,0.46,0.431,-0.078,8.630
7178,22.319248,87.302665,0.09,0.10,-0.02,7.95,-0.46,-1.58,0.92,-0.76,0.40,-0.24,0.392,-0.078,8.551
7278,22.319248,87.302665,0.09,0.18,0.00,8.04,-0.39,-1.53,0.95,0.69,0.53,0.31,0.392,-0.157,8.551
7420,22.319248,87.302665,0.09,0.14,-0.04,8.13,-0.41,-1.72,0.81,-0.16,-1.34,-0.97,0.392,-0.118,8.512
7567,22.319248,87.302665,0.09,0.18,-0.10,8.08,-0.33,-1.63,0.94,0.57,0.62,0.88,0.392,-0.118,8.512
7755,22.319248,87.302665,0.09,0.11,-0.09,8.06,-0.36,-1.63,0.85,-0.16,-0.04,-0.49,0.392,-0.157,8.591
7952,22.319246,87.302665,0.02,0.18,-0.09,7.99,-0.31,-1.44,0.95,0.23,0.97,0.50,0.431,-0.196,8.630
